Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
7604,Lolita,Vladimir Nabokov,"Nabokov, Vladimir",Craig Raine,"=""""","=""""",5,3.89,Penguin,Paperback,331,1995,1955,,2010/12/16,5-star,5-star (#3),read,,,,1,,,0,,,,,
5129,Brave New World,Aldous Huxley,"Huxley, Aldous",,"=""0060929871""","=""9780060929879""",3,3.99,HarperPerennial / Perennial Classics,Paperback,288,1998,1932,,2010/12/16,,,read,,,,1,,,0,,,,,
168668,Catch-22,Joseph Heller,"Heller, Joseph",,"=""0684833395""","=""9780684833392""",5,3.98,Simon & Schuster ,Paperback,453,2004,1961,,2010/12/16,"5-star, war","5-star (#2), war (#2)",read,,,,1,,,0,,,,,
890,Of Mice and Men,John Steinbeck,"Steinbeck, John",,"=""0142000671""","=""9780142000670""",4,3.88,Penguin Books,Paperback,103,2002,1937,,2010/12/16,,,read,,,,1,,,0,,,,,
76620,"Watership Down (Watership Down, #1)",Richard  Adams,"Adams, Richard",,"=""038039586X""","=""9780380395866""",4,4.06,Avon Books,Mass Market Paperback,478,1975,1972,,2010/12/16,,,read,,,,1,,,0,,,,,
930,Memoirs of a Geisha,Arthur Golden,"Golden, Arthur",,"=""0739326228""","=""9780739326220""",4,4.12,Random House Large Print Publishing,Hardcover,434,2005,1997,,2010/12/16,,,read,,,,1,,,0,,,,,
168642,In Cold Blood,Truman Capote,"Capote, Truman",,"=""0679745580""","=""9780679745587""",4,4.07,Vintage,Paperback,343,1994,1965,,2010/12/16,,,read,,,,1,,,0,,,,,
9712,Love in the Time of Cholera,Gabriel García Márquez,"Márquez, Gabriel García",Edith Grossman,"=""140003468X""","=""9781400034680""",4,3.92,Vintage International,Paperback,348,2003,1985,,2010/12/16,,,read,,,,1,,,0,,,,,
7069,The World According to Garp,John Irving,"Irving, John",,"=""0345915593""","=""9780345915597""",5,4.09,Ballantine Books,Hardcover,610,1999,1978,,2010/12/16,5-star,5-star (#34),read,,,,1,,,0,,,,,
12873,Rebecca,Daphne du Maurier,"Maurier, Daphne du",Sally Beauman,"=""1844080382""","=""9781844080380""",5,4.23,Virago Press (UK),Paperback,428,2003,1938,,2010/12/16,5-star,5-star (#33),read,,,,1,,,0,,,,,
234225,"Dune (Dune Chronicles, #1)",Frank Herbert,"Herbert, Frank",Domingo Santos,"=""0340839937""","=""9780340839935""",4,4.23,Hodder & Stoughton,Paperback,604,2006,1965,,2010/12/16,,,read,,,,1,,,0,,,,,
7244,The Poisonwood Bible,Barbara Kingsolver,"Kingsolver, Barbara",,"=""0060786507""","=""9780060786502""",5,4.07,Harper Perennial Modern Classics,Hardcover,546,2005,1998,,2010/12/16,5-star,5-star (#32),read,,,,1,,,0,,,,,
14249,Prodigal Summer,Barbara Kingsolver,"Kingsolver, Barbara",,"=""0060959037""","=""9780060959036""",4,4.00,Harper Perennial,Paperback,444,2001,2000,,2010/12/16,,,read,,,,1,,,0,,,,,
6334,Never Let Me Go,Kazuo Ishiguro,"Ishiguro, Kazuo",,"=""1400078776""","=""9781400078776""",4,3.82,Vintage Books ,Paperback,288,2010,2005,,2010/12/16,,,read,,,,1,,,0,,,,,
